SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State
11430,11431.0,TX-00308,Alvin,77511.0,BRAZORIA,12170.0,7710.0,4460.0,15000.0,0.0,0.0,15000.0,2008,Texas
11430,11431.0,TX-00308,ALVIN,77512.0,GALVESTON,71595.0,71595.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,Alvin,77511.0,GALVESTON,0.0,0.0,0.0,27300.0,0.0,0.0,27300.0,2008,Texas
11430,11431.0,TX-00308,ANAHUAC,77514.0,CHAMBERS,2505881.0,1476500.0,1029381.0,930500.0,393200.0,427000.0,110300.0,2008,Texas
11430,11431.0,TX-00308,ANGELTON,77515.0,BRAZORIA,298313.0,295113.0,3200.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,ANGLETON,77515.0,BRAZORIA,2451479.0,2294334.0,157145.0,855000.0,780500.0,500.0,74000.0,2008,Texas
11430,11431.0,TX-00308,ANGLETON,77516.0,BRAZORIA,35286.0,33786.0,1500.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,Angleton,77515.0,BRAZORIA,5409.0,2024.0,3385.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,ARCADIA,77517.0,GALVESTON,91191.0,91191.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,ATASCOCITA,77346.0,HARRIS,26142.0,0.0,26142.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BACLIFF,77518.0,GALVESTON,1629779.0,1394077.0,235702.0,195300.0,153700.0,41600.0,0.0,2008,Texas
11430,11431.0,TX-00308,BAY CITY,77414.0,MATAGORDA,46642.0,44442.0,2200.0,19600.0,19600.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BAYOU VISTA,77563.0,GALVESTON,169284.0,122343.0,46941.0,49700.0,32600.0,15500.0,1600.0,2008,Texas
11430,11431.0,TX-00308,BAYTOWN,77520.0,CHAMBERS,679636.0,671218.0,8418.0,13600.0,400.0,0.0,13200.0,2008,Texas
11430,11431.0,TX-00308,BAYTOWN,77523.0,CHAMBERS,859534.0,516309.0,343225.0,799100.0,462400.0,336700.0,0.0,2008,Texas
11430,11431.0,TX-00308,BAYTOWN,77520.0,HARRIS,3818839.0,3497468.0,321371.0,941900.0,813400.0,51100.0,77400.0,2008,Texas
11430,11431.0,TX-00308,BAYTOWN,77521.0,HARRIS,3926833.0,3629630.0,297203.0,958500.0,865400.0,22500.0,70600.0,2008,Texas
11430,11431.0,TX-00308,BAYTOWN,77522.0,HARRIS,26995.0,26995.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BAYTOWN,77532.0,HARRIS,43925.0,43925.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BAYTOWN,79420.0,HARRIS,43500.0,0.0,43500.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,Baytown,77521.0,HARRIS,84168.0,77224.0,6944.0,5000.0,0.0,0.0,5000.0,2008,Texas
11430,11431.0,TX-00308,BEACH CITY,77523.0,CHAMBERS,67358.0,43080.0,24278.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BEASLEY,77417.0,FORT BEND,6547.0,6547.0,0.0,17100.0,6600.0,0.0,10500.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77701.0,CHAMBERS,25628.0,14833.0,10795.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77701.0,JEFFERSON,2214386.0,2097530.0,116856.0,1116700.0,1041300.0,41000.0,34400.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77702.0,JEFFERSON,2071233.0,1937697.0,133536.0,506900.0,305900.0,118400.0,82600.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77703.0,JEFFERSON,3274451.0,3175952.0,98499.0,926800.0,917400.0,3200.0,6200.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77704.0,JEFFERSON,16950.0,16950.0,0.0,17000.0,17000.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77705.0,JEFFERSON,3033185.0,2286767.0,746418.0,936500.0,744100.0,161100.0,31300.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77706.0,JEFFERSON,3717949.0,2291855.0,1426094.0,1144600.0,95400.0,1035900.0,13300.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77707.0,JEFFERSON,2105904.0,2002121.0,103783.0,1476700.0,1402900.0,13000.0,60800.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77708.0,JEFFERSON,160223.0,146879.0,13344.0,128400.0,107800.0,6400.0,14200.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77711.0,JEFFERSON,7691.0,7691.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BEAUMONT,77713.0,JEFFERSON,167733.0,165833.0,1900.0,17000.0,10600.0,1400.0,5000.0,2008,Texas
11430,11431.0,TX-00308,Beaumont,77713.0,JEFFERSON,0.0,0.0,0.0,65200.0,0.0,0.0,65200.0,2008,Texas
11430,11431.0,TX-00308,beaumont,77702.0,JEFFERSON,6857.0,6857.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,beaumont,77706.0,JEFFERSON,133305.0,23727.0,109578.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,Beaumont,77703.0,ORANGE,0.0,0.0,0.0,154000.0,0.0,0.0,154000.0,2008,Texas
11430,11431.0,TX-00308,BELLAIRE,77401.0,HARRIS,1972576.0,1811247.0,161329.0,1259500.0,1104400.0,137700.0,17400.0,2008,Texas
11430,11431.0,TX-00308,BRAZORIA,77422.0,BRAZORIA,463484.0,446224.0,17260.0,224100.0,190900.0,0.0,33200.0,2008,Texas
11430,11431.0,TX-00308,BRENHAM,77833.0,WASHINGTON,11762.0,11762.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,Brenham,77833.0,WASHINGTON,0.0,0.0,0.0,82700.0,0.0,0.0,82700.0,2008,Texas
11430,11431.0,TX-00308,BRIDGE CITY,77611.0,JEFFERSON,55387.0,1062.0,54325.0,61000.0,1100.0,54300.0,5600.0,2008,Texas
11430,11431.0,TX-00308,BRIDGE CITY,76111.0,ORANGE,79137.0,29812.0,49325.0,79200.0,29900.0,49300.0,0.0,2008,Texas
11430,11431.0,TX-00308,BRIDGE CITY,77611.0,ORANGE,13937720.0,11378256.0,2559464.0,5425200.0,4431600.0,675700.0,248600.0,2008,Texas
11430,11431.0,TX-00308,BRIDGE CITY,77631.0,ORANGE,342290.0,336890.0,5400.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BROADDUS,75929.0,SAN AUGUSTINE,64982.0,61607.0,3375.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BROOKELAND,75931.0,JASPER,925.0,354.0,571.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BROOKSIDE VILLAGE,77581.0,BRAZORIA,3800.0,0.0,3800.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,BRYAN,77801.0,BRAZOS,21745.0,21745.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
